sentence,book,word_count,afinn,bing,nrc,sentimentR,nrc.anger,nrc.anticipation,nrc.disgust,nrc.fear,nrc.joy,nrc.sadness,nrc.surprise,nrc.trust,nrc.negative,nrc.positive,anger.perc,sadness.perc,joy.perc,anticipation.perc,disgust.perc,trust.perc,surprise.perc,fear.perc
but behind us the attack crashes ever nearer.,allquietonthewesternfront,8,-1,-2,-1,-1.39,1,0,0,1,0,0,0,0,1,0,12.5,0,0,0,0,0,0,12.5
but i smile- -kat is saved.,allquietonthewesternfront,6,4,1,1,1.42,0,0,0,0,1,0,1,1,0,1,0,0,16.67,0,0,16.67,16.67,0
"i wage a wild and senseless fight, i want to get out of the hollow and yet slide back into it again; i say ""you must, it is your comrades, it is not an idiotic command,"" and again: ""what does it matter to me, i have only one life to lose--"" that is the result of all this leave, i plead in extenuation.",allquietonthewesternfront,63,-3,-5,-7,-0.16,4,1,3,3,0,4,4,0,7,0,6.35,6.35,0,1.59,4.76,0,6.35,4.76
"more than that, they are so much a matter of course that their comfortable performance is fully as much enjoyed as the playing of a safe top running flush.",allquietonthewesternfront,29,6,4,4,1.63,0,1,0,0,1,0,0,3,0,4,0,0,3.45,3.45,0,10.34,0,0
"the latrine poles are always densely crowded; the people at home ought to be shown these grey, yellow, miserable, wasted faces here, these bent figures from whose bodies the colic wrings out the blood, and who with lips trembling and distorted with pain, grin at one another and say: ""it is not much sense pulling up one's trousers again--"" our artillery is fired out, it has too few shells and the barrels are so worn that they shoot uncertainly, and scatter so widely as even to fall on ourselves.",allquietonthewesternfront,89,-16,-7,-8,-0.49,3,1,3,4,1,4,1,1,10,2,3.37,4.49,1.12,1.12,3.37,1.12,1.12,4.49
"we see time pass in the colourless faces of the dying, we cram food into us, we run, we throw, we shoot, we kill, we lie about, we are feeble and spent, and nothing supports us but the knowledge that there are still feebler, still more spent, still more helpless ones there who, with staring eyes, look upon us as gods that escape death many times.",allquietonthewesternfront,66,-9,-5,-7,-0.56,4,3,3,6,1,6,1,1,10,3,6.06,9.09,1.52,4.55,4.55,1.52,1.52,9.09
"when a shell lands in the trench we note how the hollow, furious blast is like a blow from the paw of a raging beast of prey.",allquietonthewesternfront,27,-1,-3,-7,-0.73,5,0,2,5,0,2,2,0,7,0,18.52,7.41,0,0,7.41,0,7.41,18.52
"with one lunge, i shoot as flat as a fish over the ground; there it whistles again, quickly i crouch together, claw for cover, feel something on the left, shove in beside it, it gives way, i groan, the earth leaps, the blast thunders in my ears, i creep under the yielding thing, cover myself with it, draw it over me, it is wood, cloth, cover, cover, miserable cover against the whizzing splinters.",allquietonthewesternfront,73,-4,-2,-7,-0.42,5,0,2,4,0,2,2,2,7,0,6.85,2.74,0,0,2.74,2.74,2.74,5.48
"'neath pleasure's lash, the grim high executioner, mortal souls, that vile and worthless throng, reap grim remorse amidst the abject ceremony, pain, take my hand; let us now along ...",atomised,29,-9,-5,-7,-1.43,4,1,3,4,1,5,1,0,8,1,13.79,17.24,3.45,3.45,10.34,0,3.45,13.79
"certainly he was not of the stuff of great researchers, but he was capable of turning to his advantage the enormous respect the scientific community had for djerzinski and his work.",atomised,31,6,5,4,1.48,0,1,0,0,1,0,0,2,0,4,0,0,3.23,3.23,0,6.45,0,0
"his teacher quickly realized that he was an exceptional pupil, a child of considerable intelligence with a gift for abstract thought—qualities which would have little opportunity to develop in peasant society.",atomised,32,4,2,7,0.59,0,5,0,1,3,0,1,2,0,7,0,0,9.38,15.62,0,6.25,3.12,3.12
"the litany of troubles in those few short weeks had overwhelmed her: the slow agony of her husband's death, the hurried departure from algiers and the arduous search for an apartment, finding one at last in a filthy housing project in the northeast of marseilles.",atomised,45,-4,-7,-7,-0.48,2,2,2,2,0,4,1,0,7,0,4.44,8.89,0,4.44,4.44,0,2.22,4.44
"this reveals the extent to which, in all western societies and particularly in the most advanced segments represented by the new age movement, there had been an acceptance of the idea that a fundamental shift was indispensable if society was to survive-a shift which would credibly restore a sense of community, of permanence and of the sacred.",atomised,58,2,1,7,0.98,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,1.72,0,0
